Term,Description,Context
ASAR,Synthetic Aperture Radar,Advanced Synthetic Aperture Radar (ASAR) 
ATEN,Thermal Environment,Advanced Thermal Environment (ATEN) 
AIAC,Industries Association of Canada,Aerospace Industries Association of Canada (AIAC) 
AMM,Mapping Mission,Antarctic Mapping Mission (AMM) 
ARF,Research Facility,Aquatic Research Facility (ARF) 
AMU,Maneuvering Unit,Astronaut Maneuvering Unit (AMU) 
AU,Unit,Astronomical Unit (AU) 
ACE,Chemistry Experiment,Atmospheric Chemistry Experiment (ACE) 
AIS,Identification System,Automatic Identification System (AIS) 
