Term,Description,Context
BLR,"AGN, the broad line region","and with the guarantees that the Vocabularies 2 standard gives to consumers as to simple, carefree parsing.TermLabelDescriptionParentMore53-persei-stars (Preliminary)53 Persei starspulsating-variable-stars, b-starsSame Ashttp://astrothesaurus.org/uat/2a-dwarf-stars (Preliminary)A dwarf starsdwarf-stars, a-starsSame Ashttp://astrothesaurus.org/uat/3a-giant-stars (Preliminary)A giant starsa-stars, giant-starsSame Ashttp://astrothesaurus.org/uat/4a-stars (Preliminary)A starsA star whose spectrum shows strong hydrogen Balmer lines accompanied by many faint to moderately strong metallic lines. In contrast to B and O stars, the lines of He I and He II are absent. Their surface temperature ranges from 7,500 to 10,000 K. The main metallic lines seen in A-type stars are those of Fe I and Fe II, Cr I and II, Ti I and II, and account for about two-thirds of all lines. Some famous examples of A star are Sirius, Deneb, Altair, and Vega. Also known as A-type star.stellar-spectral-types, early-type-starsSame Ashttp://astrothesaurus.org/uat/5Related#stellar-classificationNarrowera-giant-starsa-subdwarf-starsa-subgiant-starsa-supergiant-starsam-starsa-dwarf-starsap-starsae-starsa-subdwarf-stars (Preliminary)A subdwarf starsa-stars, subdwarf-starsSame Ashttp://astrothesaurus.org/uat/6a-subgiant-stars (Preliminary)A subgiant starssubgiant-stars, a-starsSame Ashttp://astrothesaurus.org/uat/7a-supergiant-stars (Preliminary)A supergiant starsearly-type-supergiant-stars, a-starsSame Ashttp://astrothesaurus.org/uat/8Related#alpha-cygni-variable-starsab-photometry (Preliminary)AB photometryA photometric system defined by reference to monochromatic magnitudes in such a way that AB is equal to the V magnitude for a source with a flat spectral energy distribution. The zero point is defined by the flux of the star Vega at 5546 Å. In this system, an object with constant flux per unit frequency interval has zero color.broad-band-photometrySame Ashttp://astrothesaurus.org/uat/2168abell-clusters (Preliminary)Abell clustersGalaxy clusters listed in the Abell catalog, which is a catalog of 4073 rich galaxy clusters grouped by constellation and by catalog number. Published first in 1958, it contained the clusters visible from the northern hemisphere. A supplement for the southern hemisphere survey was published in 1988.galaxy-clustersSame Ashttp://astrothesaurus.org/uat/9absolute-magnitude (Preliminary)Absolute magnitudeThe magnitude a star would have if it were at a distance of 10 parsecs in a void space, without interstellar absorption. The absolute magnitude is usually deduced from the visual magnitude, measured through a V filter (UBV system), when it is written as M_V. If it is defined for another wavelength, it gets another index (U, B, etc). If the radiation on all wavelengths is included, it becomes absolute bolometric magnitude, M_bol. The Sun has the absolute magnitude +4.8. Most of the stars have absolute magnitudes ranging between -9 (supergiants) and +19 (red dwarfs).magnitudeSame Ashttp://astrothesaurus.org/uat/10abundance-ratios (Preliminary)Abundance ratiosThe relative amount of a given chemical element with respect to other elements.chemical-abundancesSame Ashttp://astrothesaurus.org/uat/11accelerating-universe (Preliminary)Accelerating universeThe deduction based on the observation that the most distant Type Ia supernovae are fainter than that expected from their redshifts in a matter-only dominated expanding Universe. The faintness is attributed to larger distances resulting from an accelerating Universe driven by presence of a new component with strongly negative pressure. This component that makes the Universe accelerate is named dark energy.deceleration-parameterSame Ashttp://astrothesaurus.org/uat/12accretion (Preliminary)AccretionThe process by which an object increases its mass under the influence of its gravitational attraction. Accretion plays a key role in a wide range of astrophysical phenomena. In particular stars result from the accretion of material by a protostar from a surrounding molecular cloud. The accumulation of mass on the protostar involves the formation of an accretion disk. Theoretical and observational investigations of protostars and newborn stars indicate the important role of magnetic fields in this process. They favor the magnetospheric accretion model for mass transfer from the circumstellar disk onto the newborn star. In this model, the stellar magnetosphere truncates the disk at a few stellar radii. Gas from the disk accretes onto the star along the magnetic field lines and hits the stellar surface at approximately the free fall velocity, causing a strong accretion shock. Various emission lines are formed in the infalling magnetospheric flow. Moreover, optical/ultraviolet excess continuum emission is produced in the accretion shocks. The accretion is accompanied by mass ejection through collimated bipolar jets.newtonian-gravitationSame Ashttp://astrothesaurus.org/uat/14Narrowerstellar-accretionbondi-accretiongalaxy-accretionachondrites (Preliminary)AchondritesA class of stony meteorites that lack chondrules. They are made of rock that has crystallized from a molten state. Achondrites are relatively rare, accounting for about 8% of all meteorite falls.meteoritesSame Ashttp://astrothesaurus.org/uat/15active-galactic-nuclei (Preliminary)Active galactic nucleiA central region of an active galaxy, which is a light-year or less in diameter and has an abnormally high luminosity. The nucleus emits high energy radiation (gamma rays, X-rays, ultraviolet) and shows variability over various time-scales, sometimes very short (hours to weeks). Emission line spectra reveal high velocity motions up to 10^4 km s^-1. AGNs are divided into two main types. Type I refers to an AGN whose nucleus is visible (the spectra has both narrow and broad emission lines), while in type II AGN, the broad line region (BLR) is obscured and the lines are very narrow. This may be due either to the viewing angle or some intrinsic difference in structure.high-energy-astrophysics, galaxy-nuclei, active-galaxiesSame Ashttp://astrothesaurus.org/uat/16Related#radio-sources#agn-host-galaxiesNarrowerradio-jetsquasarsradio-coresradio-plumeslow-luminosity-active-galactic-nucleiradio-active-galactic-nucleihigh-luminosity-active-galactic-nucleiradio-lobesrelativistic-disksx-ray-active-galactic-nucleiblazarsradio-hot-spotsactive-galaxies (Preliminary)Active galaxiesA galaxy that produces huge amounts of energy at its center, which cannot be attributed to normal processes from stars, interstellar medium, and their interactions. There are several types of active galaxies: Seyfert galaxies, quasars, and blazars. All of these objects show brightness variations, some as short as 3 hours. These fluctuations indicate a relatively very small size for the central object, because an object cannot vary in brightness faster than light can travel across it. For example, an object that is one light-year in diameter cannot vary significantly in brightness over a period of less than one year.galaxiesSame Ashttp://astrothesaurus.org/uat/17Narroweractive-galactic-nucleibl-lacertae-objectsstarburst-galaxiesagn-host-galaxiesblazarsliner-galaxiesharo-galaxiesradio-galaxiesmarkarian-galaxiesactive-solar-chromosphere (Preliminary)Active solar chromospheresolar-chromosphereSame Ashttp://astrothesaurus.org/uat/1980active-solar-corona (Preliminary)Active solar coronasolar-coronaSame Ashttp://astrothesaurus.org/uat/1988active-sun (Preliminary)Active sunThe Sun during its 11-year cycle of activity when spots, flares, prominences, and variations in radiofrequency radiation are at a maximum.solar-cycleSame Ashttp://astrothesaurus.org/uat/18Related#quiet-sunadaptive-interferometry (Preliminary)Adaptive interferometryinterferometrySame Ashttp://astrothesaurus.org/uat/19ae-stars (Preliminary)Ae starsearly-type-emission-stars, a-starsSame Ashttp://astrothesaurus.org/uat/20Narrowerherbig-ae-be-starsaerolites (Preliminary)AerolitesA stony meteorite consisting of silicate minerals. This alternative name for a stony meteorite, is now largely obsolete.meteoritesSame Ashttp://astrothesaurus.org/uat/21aeronomy (Preliminary)AeronomyThe study of the upper atmosphere, especially of regions of ionized gas.atmospheric-scienceSame Ashttp://astrothesaurus.org/uat/22affine-invariant (Preliminary)Affine invariantmarkov-chain-monte-carloSame Ashttp://astrothesaurus.org/uat/1890agn-host-galaxies (Preliminary)AGN host galaxiesactive-galaxiesSame Ashttp://astrothesaurus.org/uat/2017Related#active-galactic-nucleiakaike-information-criterion (Preliminary)Akaike information criterionmodel-selectionSame Ashttp://astrothesaurus.org/uat/1940alfven-waves (Preliminary)Alfven wavesA magnetohydrodynamic wave in a magnetized plasma, arising as a result of restoring forces associated with the magnetic field. It is a transverse wave which propagates in the direction of the magnetic field. Also called magnetohydrodynamic wave.space-plasmas, solar-chromosphereSame Ashttp://astrothesaurus.org/uat/23Related#magnetohydrodynamicsalgol-variable-stars (Preliminary)Algol variable starssemi-detached-binary-stars, eclipsing-binary-starsSame Ashttp://astrothesaurus.org/uat/24algorithms (Preliminary)AlgorithmsA step-by-step problem-solving procedure, especially an established, recursive computational procedure for solving a problem in a finite number of steps.astrostatisticsSame Ashttp://astrothesaurus.org/uat/1883Narrowermarkov-chain-monte-carloexpectation-maximization-algorithmall-sky-cameras (Preliminary)All-sky cameraswide-field-telescopesSame Ashttp://astrothesaurus.org/uat/25Narrowercloud-monitorsalmanacs (Preliminary)AlmanacsA book of tables, usually covering a period of one calendar year, that lists the future positions of the Moon, planets, and other prominent celestial objects, together with other useful astronomical data.astronomical-reference-materialsSame Ashttp://astrothesaurus.org/uat/26Narrowernautical-almanacsalpha-cygni-variable-stars (Preliminary)Alpha Cygni variable starspulsating-variable-starsSame Ashttp://astrothesaurus.org/uat/2122Related#a-supergiant-stars#luminous-blue-variable-stars#b-supergiant-starsalt-azimuth-mounts (Preliminary)Alt-azimuth mountsA telescope mounting which has its two axes of movement aligned with the horizon and the zenith.telescope-mountsSame Ashttp://astrothesaurus.org/uat/28Related#azimuthalternatives-to-cosmic-inflation (Preliminary)Alternatives to cosmic inflationcosmic-inflationSame Ashttp://astrothesaurus.org/uat/29altitude-angle (Preliminary)Altitude anglehorizontal-coordinate-systemSame Ashttp://astrothesaurus.org/uat/30am-canum-venaticorum-stars (Preliminary)AM Canum Venaticorum starsA binary system that has very short orbital period (less than one hour) and helium dominated spectrum. The prototype, AM Canum Venaticorum, with a period of 17 minutes, was discovered in 1967. AM CVn stars are semidetached binary systems in which accretion is going on. The donor star is hydrogen deficient and the accretor is usually a white dwarf. To fit within their Roche lobes, the donor stars must be dense, suggesting they may be degenerate too. It is at present thought that AM CVn stars represent three possible evolutionary phases in 1) double white dwarf systems, 2) white dwarf and helium star binaries, and 3) cataclysmic variables with evolved donors.cataclysmic-variable-stars, hydrogen-deficient-starsSame Ashttp://astrothesaurus.org/uat/31Related#dq-herculis-starsam-herculis-stars (Preliminary)AM Herculis starscataclysmic-variable-stars, stellar-remnantsSame Ashttp://astrothesaurus.org/uat/32Related#dq-herculis-starsam-stars (Preliminary)Am starsA chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.magnetic-stars, a-stars, chemically-peculiar-stars, magnetic-variable-starsSame Ashttp://astrothesaurus.org/uat/33amateur-astronomers (Preliminary)Amateur astronomersA person who engages in astronomy as a pastime rather than as a profession.astronomical-researchSame Ashttp://astrothesaurus.org/uat/34Related#amateur-astronomyamateur-astronomy (Preliminary)Amateur astronomyThe astronomical activities carried out by amateur astronomers.astronomical-methodsSame Ashttp://astrothesaurus.org/uat/35Related#amateur-astronomersNarrowerpurkinje-effectnight-visionamor-group (Preliminary)Amor groupA near-Earth asteroid (NEA) with perihelion distances between 1.017 and 1.3 astronomical units. The Amor asteroids approach the orbit of the Earth from beyond, but do not intersect it. Most Amors do cross the orbit of Mars. It is estimated that 32% of the total number of NEAs are Amors. One of the larger Amors is Eros.near-earth-objectsSame Ashttp://astrothesaurus.org/uat/36Narrowererosamorphous-irregular-galaxies (Preliminary)Amorphous irregular galaxiesirregular-galaxiesSame Ashttp://astrothesaurus.org/uat/37analytical-mathematics (Preliminary)Analytical mathematicsastronomical-techniquesSame Ashttp://astrothesaurus.org/uat/38Related#computational-astronomyNarrowerastronomical-modelsradiative-transfer-equationluminosity-functionvon-zeipel-theoremperturbation-methodsandromeda-galaxy (Preliminary)Andromeda GalaxyThe nearest spiral galaxy to our own and a major member of the Local Group. It lies in the constellation Andromeda and is the most remote object normally visible to the naked eye. The earliest known reference to this galaxy is by the Iranian astronomer Sufi who called it 'the little cloud' in his Book of Fixed Stars (A.D. 964).spiral-galaxies, local-groupSame Ashttp://astrothesaurus.org/uat/39angular-separation (Preliminary)Angular separationBetween two points A and B, the angle subtended by lines drawn from an observing point O to A and B.astronomical-locationSame Ashttp://astrothesaurus.org/uat/40annual-equation (Preliminary)Annual equationAn irregularity in the Moon's orbit, which can amount to 11 degrees in a period of one year. It results from the Sun's disturbing effect on the motion of the Moon due to varying distance between them.lunar-theorySame Ashttp://astrothesaurus.org/uat/41annual-microlensing-parallax (Preliminary)Annual microlensing parallaxmicrolensing-parallaxSame Ashttp://astrothesaurus.org/uat/2149annual-parallax (Preliminary)Annual parallaxThe difference in position of a star as seen from the Earth and Sun, i.e. the angle subtended at a star by the mean "
NEA,(Preliminary)Amor groupA near Earth asteroid,"and with the guarantees that the Vocabularies 2 standard gives to consumers as to simple, carefree parsing.TermLabelDescriptionParentMore53-persei-stars (Preliminary)53 Persei starspulsating-variable-stars, b-starsSame Ashttp://astrothesaurus.org/uat/2a-dwarf-stars (Preliminary)A dwarf starsdwarf-stars, a-starsSame Ashttp://astrothesaurus.org/uat/3a-giant-stars (Preliminary)A giant starsa-stars, giant-starsSame Ashttp://astrothesaurus.org/uat/4a-stars (Preliminary)A starsA star whose spectrum shows strong hydrogen Balmer lines accompanied by many faint to moderately strong metallic lines. In contrast to B and O stars, the lines of He I and He II are absent. Their surface temperature ranges from 7,500 to 10,000 K. The main metallic lines seen in A-type stars are those of Fe I and Fe II, Cr I and II, Ti I and II, and account for about two-thirds of all lines. Some famous examples of A star are Sirius, Deneb, Altair, and Vega. Also known as A-type star.stellar-spectral-types, early-type-starsSame Ashttp://astrothesaurus.org/uat/5Related#stellar-classificationNarrowera-giant-starsa-subdwarf-starsa-subgiant-starsa-supergiant-starsam-starsa-dwarf-starsap-starsae-starsa-subdwarf-stars (Preliminary)A subdwarf starsa-stars, subdwarf-starsSame Ashttp://astrothesaurus.org/uat/6a-subgiant-stars (Preliminary)A subgiant starssubgiant-stars, a-starsSame Ashttp://astrothesaurus.org/uat/7a-supergiant-stars (Preliminary)A supergiant starsearly-type-supergiant-stars, a-starsSame Ashttp://astrothesaurus.org/uat/8Related#alpha-cygni-variable-starsab-photometry (Preliminary)AB photometryA photometric system defined by reference to monochromatic magnitudes in such a way that AB is equal to the V magnitude for a source with a flat spectral energy distribution. The zero point is defined by the flux of the star Vega at 5546 Å. In this system, an object with constant flux per unit frequency interval has zero color.broad-band-photometrySame Ashttp://astrothesaurus.org/uat/2168abell-clusters (Preliminary)Abell clustersGalaxy clusters listed in the Abell catalog, which is a catalog of 4073 rich galaxy clusters grouped by constellation and by catalog number. Published first in 1958, it contained the clusters visible from the northern hemisphere. A supplement for the southern hemisphere survey was published in 1988.galaxy-clustersSame Ashttp://astrothesaurus.org/uat/9absolute-magnitude (Preliminary)Absolute magnitudeThe magnitude a star would have if it were at a distance of 10 parsecs in a void space, without interstellar absorption. The absolute magnitude is usually deduced from the visual magnitude, measured through a V filter (UBV system), when it is written as M_V. If it is defined for another wavelength, it gets another index (U, B, etc). If the radiation on all wavelengths is included, it becomes absolute bolometric magnitude, M_bol. The Sun has the absolute magnitude +4.8. Most of the stars have absolute magnitudes ranging between -9 (supergiants) and +19 (red dwarfs).magnitudeSame Ashttp://astrothesaurus.org/uat/10abundance-ratios (Preliminary)Abundance ratiosThe relative amount of a given chemical element with respect to other elements.chemical-abundancesSame Ashttp://astrothesaurus.org/uat/11accelerating-universe (Preliminary)Accelerating universeThe deduction based on the observation that the most distant Type Ia supernovae are fainter than that expected from their redshifts in a matter-only dominated expanding Universe. The faintness is attributed to larger distances resulting from an accelerating Universe driven by presence of a new component with strongly negative pressure. This component that makes the Universe accelerate is named dark energy.deceleration-parameterSame Ashttp://astrothesaurus.org/uat/12accretion (Preliminary)AccretionThe process by which an object increases its mass under the influence of its gravitational attraction. Accretion plays a key role in a wide range of astrophysical phenomena. In particular stars result from the accretion of material by a protostar from a surrounding molecular cloud. The accumulation of mass on the protostar involves the formation of an accretion disk. Theoretical and observational investigations of protostars and newborn stars indicate the important role of magnetic fields in this process. They favor the magnetospheric accretion model for mass transfer from the circumstellar disk onto the newborn star. In this model, the stellar magnetosphere truncates the disk at a few stellar radii. Gas from the disk accretes onto the star along the magnetic field lines and hits the stellar surface at approximately the free fall velocity, causing a strong accretion shock. Various emission lines are formed in the infalling magnetospheric flow. Moreover, optical/ultraviolet excess continuum emission is produced in the accretion shocks. The accretion is accompanied by mass ejection through collimated bipolar jets.newtonian-gravitationSame Ashttp://astrothesaurus.org/uat/14Narrowerstellar-accretionbondi-accretiongalaxy-accretionachondrites (Preliminary)AchondritesA class of stony meteorites that lack chondrules. They are made of rock that has crystallized from a molten state. Achondrites are relatively rare, accounting for about 8% of all meteorite falls.meteoritesSame Ashttp://astrothesaurus.org/uat/15active-galactic-nuclei (Preliminary)Active galactic nucleiA central region of an active galaxy, which is a light-year or less in diameter and has an abnormally high luminosity. The nucleus emits high energy radiation (gamma rays, X-rays, ultraviolet) and shows variability over various time-scales, sometimes very short (hours to weeks). Emission line spectra reveal high velocity motions up to 10^4 km s^-1. AGNs are divided into two main types. Type I refers to an AGN whose nucleus is visible (the spectra has both narrow and broad emission lines), while in type II AGN, the broad line region (BLR) is obscured and the lines are very narrow. This may be due either to the viewing angle or some intrinsic difference in structure.high-energy-astrophysics, galaxy-nuclei, active-galaxiesSame Ashttp://astrothesaurus.org/uat/16Related#radio-sources#agn-host-galaxiesNarrowerradio-jetsquasarsradio-coresradio-plumeslow-luminosity-active-galactic-nucleiradio-active-galactic-nucleihigh-luminosity-active-galactic-nucleiradio-lobesrelativistic-disksx-ray-active-galactic-nucleiblazarsradio-hot-spotsactive-galaxies (Preliminary)Active galaxiesA galaxy that produces huge amounts of energy at its center, which cannot be attributed to normal processes from stars, interstellar medium, and their interactions. There are several types of active galaxies: Seyfert galaxies, quasars, and blazars. All of these objects show brightness variations, some as short as 3 hours. These fluctuations indicate a relatively very small size for the central object, because an object cannot vary in brightness faster than light can travel across it. For example, an object that is one light-year in diameter cannot vary significantly in brightness over a period of less than one year.galaxiesSame Ashttp://astrothesaurus.org/uat/17Narroweractive-galactic-nucleibl-lacertae-objectsstarburst-galaxiesagn-host-galaxiesblazarsliner-galaxiesharo-galaxiesradio-galaxiesmarkarian-galaxiesactive-solar-chromosphere (Preliminary)Active solar chromospheresolar-chromosphereSame Ashttp://astrothesaurus.org/uat/1980active-solar-corona (Preliminary)Active solar coronasolar-coronaSame Ashttp://astrothesaurus.org/uat/1988active-sun (Preliminary)Active sunThe Sun during its 11-year cycle of activity when spots, flares, prominences, and variations in radiofrequency radiation are at a maximum.solar-cycleSame Ashttp://astrothesaurus.org/uat/18Related#quiet-sunadaptive-interferometry (Preliminary)Adaptive interferometryinterferometrySame Ashttp://astrothesaurus.org/uat/19ae-stars (Preliminary)Ae starsearly-type-emission-stars, a-starsSame Ashttp://astrothesaurus.org/uat/20Narrowerherbig-ae-be-starsaerolites (Preliminary)AerolitesA stony meteorite consisting of silicate minerals. This alternative name for a stony meteorite, is now largely obsolete.meteoritesSame Ashttp://astrothesaurus.org/uat/21aeronomy (Preliminary)AeronomyThe study of the upper atmosphere, especially of regions of ionized gas.atmospheric-scienceSame Ashttp://astrothesaurus.org/uat/22affine-invariant (Preliminary)Affine invariantmarkov-chain-monte-carloSame Ashttp://astrothesaurus.org/uat/1890agn-host-galaxies (Preliminary)AGN host galaxiesactive-galaxiesSame Ashttp://astrothesaurus.org/uat/2017Related#active-galactic-nucleiakaike-information-criterion (Preliminary)Akaike information criterionmodel-selectionSame Ashttp://astrothesaurus.org/uat/1940alfven-waves (Preliminary)Alfven wavesA magnetohydrodynamic wave in a magnetized plasma, arising as a result of restoring forces associated with the magnetic field. It is a transverse wave which propagates in the direction of the magnetic field. Also called magnetohydrodynamic wave.space-plasmas, solar-chromosphereSame Ashttp://astrothesaurus.org/uat/23Related#magnetohydrodynamicsalgol-variable-stars (Preliminary)Algol variable starssemi-detached-binary-stars, eclipsing-binary-starsSame Ashttp://astrothesaurus.org/uat/24algorithms (Preliminary)AlgorithmsA step-by-step problem-solving procedure, especially an established, recursive computational procedure for solving a problem in a finite number of steps.astrostatisticsSame Ashttp://astrothesaurus.org/uat/1883Narrowermarkov-chain-monte-carloexpectation-maximization-algorithmall-sky-cameras (Preliminary)All-sky cameraswide-field-telescopesSame Ashttp://astrothesaurus.org/uat/25Narrowercloud-monitorsalmanacs (Preliminary)AlmanacsA book of tables, usually covering a period of one calendar year, that lists the future positions of the Moon, planets, and other prominent celestial objects, together with other useful astronomical data.astronomical-reference-materialsSame Ashttp://astrothesaurus.org/uat/26Narrowernautical-almanacsalpha-cygni-variable-stars (Preliminary)Alpha Cygni variable starspulsating-variable-starsSame Ashttp://astrothesaurus.org/uat/2122Related#a-supergiant-stars#luminous-blue-variable-stars#b-supergiant-starsalt-azimuth-mounts (Preliminary)Alt-azimuth mountsA telescope mounting which has its two axes of movement aligned with the horizon and the zenith.telescope-mountsSame Ashttp://astrothesaurus.org/uat/28Related#azimuthalternatives-to-cosmic-inflation (Preliminary)Alternatives to cosmic inflationcosmic-inflationSame Ashttp://astrothesaurus.org/uat/29altitude-angle (Preliminary)Altitude anglehorizontal-coordinate-systemSame Ashttp://astrothesaurus.org/uat/30am-canum-venaticorum-stars (Preliminary)AM Canum Venaticorum starsA binary system that has very short orbital period (less than one hour) and helium dominated spectrum. The prototype, AM Canum Venaticorum, with a period of 17 minutes, was discovered in 1967. AM CVn stars are semidetached binary systems in which accretion is going on. The donor star is hydrogen deficient and the accretor is usually a white dwarf. To fit within their Roche lobes, the donor stars must be dense, suggesting they may be degenerate too. It is at present thought that AM CVn stars represent three possible evolutionary phases in 1) double white dwarf systems, 2) white dwarf and helium star binaries, and 3) cataclysmic variables with evolved donors.cataclysmic-variable-stars, hydrogen-deficient-starsSame Ashttp://astrothesaurus.org/uat/31Related#dq-herculis-starsam-herculis-stars (Preliminary)AM Herculis starscataclysmic-variable-stars, stellar-remnantsSame Ashttp://astrothesaurus.org/uat/32Related#dq-herculis-starsam-stars (Preliminary)Am starsA chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.magnetic-stars, a-stars, chemically-peculiar-stars, magnetic-variable-starsSame Ashttp://astrothesaurus.org/uat/33amateur-astronomers (Preliminary)Amateur astronomersA person who engages in astronomy as a pastime rather than as a profession.astronomical-researchSame Ashttp://astrothesaurus.org/uat/34Related#amateur-astronomyamateur-astronomy (Preliminary)Amateur astronomyThe astronomical activities carried out by amateur astronomers.astronomical-methodsSame Ashttp://astrothesaurus.org/uat/35Related#amateur-astronomersNarrowerpurkinje-effectnight-visionamor-group (Preliminary)Amor groupA near-Earth asteroid (NEA) with perihelion distances between 1.017 and 1.3 astronomical units. The Amor asteroids approach the orbit of the Earth from beyond, but do not intersect it. Most Amors do cross the orbit of Mars. It is estimated that 32% of the total number of NEAs are Amors. One of the larger Amors is Eros.near-earth-objectsSame Ashttp://astrothesaurus.org/uat/36Narrowererosamorphous-irregular-galaxies (Preliminary)Amorphous irregular galaxiesirregular-galaxiesSame Ashttp://astrothesaurus.org/uat/37analytical-mathematics (Preliminary)Analytical mathematicsastronomical-techniquesSame Ashttp://astrothesaurus.org/uat/38Related#computational-astronomyNarrowerastronomical-modelsradiative-transfer-equationluminosity-functionvon-zeipel-theoremperturbation-methodsandromeda-galaxy (Preliminary)Andromeda GalaxyThe nearest spiral galaxy to our own and a major member of the Local Group. It lies in the constellation Andromeda and is the most remote object normally visible to the naked eye. The earliest known reference to this galaxy is by the Iranian astronomer Sufi who called it 'the little cloud' in his Book of Fixed Stars (A.D. 964).spiral-galaxies, local-groupSame Ashttp://astrothesaurus.org/uat/39angular-separation (Preliminary)Angular separationBetween two points A and B, the angle subtended by lines drawn from an observing point O to A and B.astronomical-locationSame Ashttp://astrothesaurus.org/uat/40annual-equation (Preliminary)Annual equationAn irregularity in the Moon's orbit, which can amount to 11 degrees in a period of one year. It results from the Sun's disturbing effect on the motion of the Moon due to varying distance between them.lunar-theorySame Ashttp://astrothesaurus.org/uat/41annual-microlensing-parallax (Preliminary)Annual microlensing parallaxmicrolensing-parallaxSame Ashttp://astrothesaurus.org/uat/2149annual-parallax (Preliminary)Annual parallaxThe difference in position of a star as seen from the Earth and Sun, i.e. the angle subtended at a star by the mean "
