Term,Description,Context
GBIF,Global Biodiversity Information Facility,2000 and the Global Biodiversity Information Facility (GBIF). 
EOL,to the Encyclopedia of Life,taxonomic backbone to the Encyclopedia of Life (EOL). 
TSN,Taxonomic Serial Number,ending with * Taxonomic Serial Number (TSN) 
