Term,Description,Context
ACE,Advanced Composition Explorer, the  Advanced Composition Explorer (ACE) spacecraft is positioned on the  
AU,Astronomical Unit,the Sun's ionized atmosphere into interplanetary space   AU 1 Astronomical Unit (AU) is equal to the average distance from the Earth to  
