Term
""
ambient solar wind
ACE
active regions
ambient solar wind
AU
aurora
auroral region
auroral activity
auroral boundary
auroral precipitation
""
cadence
""
Carrington event
""
Carrington rotation
""
chromosphere
Corotating Interaction Region (CIR)
""
CME
""
CME angular width
""
CME opening half-angle
CME parameters
CME plane of sky measurements
CME plane of sky speed
CME radial velocity
cone model
coronagraph
coronagraph field of view
coronagraph difference images
coronal hole
coronal loop
""
differential rotation
diffuse aurora
discrete aurora
""
ecliptic plane
""
electromagnetic spectrum
electron volt (eV)
energetic charged particles
energetic electrons
energetic protons
geoeffective
""
""
geomagnetic storm/space weather storm in the Earth's
magnetopshere
""
geomagnetic Kp index
geostationary/GEO orbit
GOES
halo CME
Heliocentric Earth Equatorial coordinates (HEEQ)
heliosphere
hemispheric power
high speed solar wind stream
ionization
""
ionizing radiation
""
ionosphere
Kp Index
""
L1 point
""
magnetic reconnection
""
magnetopause
magnetosphere
MHD
""
Parker spiral
particle flux
penumbra
""
photosphere
""
plage
""
plasma
POES
""
reconnection
""
SDO
solar
solar atmosphere
solar corona
solar cycle of magnetic activity
solar wind
space weather
spectral notation
STEREO
streamer
""
sunspot
""
tachocline
transition region
""
X-ray flare
