Term,Definitions
Saturn XVIII (Pan),"Greek god of pastoralism, he was half goat and half human. Son of Hermes, brother of Daphnis, and a descendant of the Titans. Discovered orbiting in the Encke division in Saturn's A ring."
Saturn XIX (Ymir),Ymir is the primordial Norse giant and the progenitor of the race of frost giants.
Saturn XX (Paaliaq),Named for an Inuit giant.
Saturn XXI (Tarvos),Named for a Gallic giant.
Saturn XXII (Ijiraq),Named for an Inuit giant.
Saturn XXIII (Suttungr),Named for a Norse giant who kindled flames that destroyed the world.
Saturn XXIV (Kiviuq),Named for an Inuit giant.
Saturn XXV (Mundilfari),Named for an Norse giant.
Saturn XXVI (Albiorix),Named for a Gallic giant who was considered to be the king of the world.
Saturn XXVII (Skathi),Named for a Norse giantess.
Saturn XXVIII (Erriapus),Named for a Gallic giant.
Saturn XXIX (Siarnaq),Named for an Inuit giant.
Saturn XXX (Thrymr),Named for a Norse giant.
Saturn XXXI (Narvi),Named for a Norse giant.
Saturn XXXII (Methone),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos."
Saturn XXXIII (Pallene),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos."
Saturn XXXIV (Polydeuces),"Twin brother of Castor, son of Zeus and Leda."
Saturn XXXV (Daphnis),"Shepherd, pipes player, and pastoral poet in Greek mythology. Son of Hermes, brother of Pan, and decendant of the Titans. Discovered orbiting in the Keeler gap in Saturn's A ring."
Saturn XXXVI (Aegir),"Norse ocean giant who represents the peaceful sea, a stiller of storms."
Saturn XXXVII (Bebhionn),Beautiful Celtic giantess.
Saturn XXXVIII (Bergelmir),"Norse frost giant, son of Ymir and one of the Hrimthursar, one of only two members of the frost giant race to escape being drowned in Ymir's blood."
Saturn XXXIX (Bestla),"Norse primeval goddess, mother of deities, daughter of the giant Bolthorn."
Saturn XL (Farbauti),"Norse storm giant, father of Loki."
Saturn XLI (Fenrir),"Norse monstrous wolf, son of Loki and the giantess Angurboda, father of Hati and Skoll."
Saturn XLII (Fornjot),"Early Norse storm giant, father of Aegir, Kari, and Loge."
Saturn XLIII (Hati),"Gigantic Norse wolf, twin of Skoll."
Saturn XLIV (Hyrrokkin),Norse giantess who launched Balder's funeral ship. (Spelling changed from Hyrokkin.)
Saturn XLV (Kari),Norse wind giant.
Saturn XLVI (Loge),"Norse fire giant, son of Fornjot."
Saturn XLVII (Skoll),"Gigantic Norse wolf, twin of Hati."
Saturn XLVIII (Surtur),Norse leader of the fire giants.
Saturn XLIX (Anthe),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos."
Saturn L (Jarnsaxa),Norse giantess and Thor's lover.
Saturn LI (Greip),Norse giantess.
Saturn LII (Tarqeq),Inuit moon spirit.
Saturn LIII (Aegaeon),"Greek hundred-armed giant, called Briareus by the gods."
Uranus,
Uranus I (Ariel),"Named by John Herschel for a sylph in Pope's ""Rape of the Lock."""
Uranus II (Umbriel),"Umbriel was named by John Herschel for a malevolent spirit in Pope's ""Rape of the Lock."""
Uranus III (Titania),"Named by Herschel's son John in early 19th century for the queen of the fairies in Shakespeare's ""A Midsummer Night's Dream."""
Uranus IV (Oberon),"Named by Herschel's son John in early 19th century for the king of the fairies in Shakespeare's ""A Midsummer Night's Dream."""
Uranus V (Miranda),"Named by Kuiper for the heroine of Shakespeare's ""The Tempest."""
Uranus VI (Cordelia),"Daughter of Lear in Shakespeare's ""King Lear."""
Uranus VII (Ophelia),"Daughter of Polonius, fiance of Hamlet in Shakespeare's ""Hamlet, Prince of Denmark."""
Uranus VIII (Bianca),"Daughter of Baptista, sister of Kate, in Shakespeare's ""Taming of the Shrew."""
Uranus IX (Cressida),"Title character in Shakespeare's ""Troilus and Cressida."""
Uranus X (Desdemona),"Wife of Othello in Shakespeare's ""Othello, the Moor of Venice."""
Uranus XI (Juliet),"Heroine of Shakespeare's ""Romeo and Juliet."""
Uranus XII (Portia),"Wife of Brutus in Shakespeare's ""Julius Caesar."""
Uranus XIII (Rosalind),"Daughter of the banished duke in Shakespeare's ""As You Like It."""
Uranus XIV (Belinda),"Character in Pope's ""Rape of the Lock."""
Uranus XV (Puck),"Mischievous spirit in Shakespeare's ""A Midsummer Night's Dream."""
Uranus XVI (Caliban),"Named for the grotesque, brutish slave in Shakespeare's ""The Tempest."""
Uranus XVII (Sycorax),"Named for Caliban's mother in Shakespeare's ""The Tempest."""
Uranus XVIII (Prospero),"Named for the rightful Duke of Milan in ""The Tempest."""
Uranus XIX (Setebos),"Setebos was a new-world (South American) deity's name that Shakespeare popularized as Sycorax's god in ""The Tempest."""
Uranus XX (Stephano),"Named for a drunken butler in ""The Tempest."""
Uranus XXI (Trinculo),"A jester in Shakespeare's ""The Tempest."""
Uranus XXII (Francisco),"A lord in ""The Tempest."""
Uranus XXIII (Margaret),"A gentlewoman attending on Hero from ""Much Ado About Nothing."""
Uranus XXIV (Ferdinand),"Son of the King of Naples in ""The Tempest."""
Uranus XXV (Perdita),"Daughter of Leontes and Hermione in ""The Winter's Tale."""
Uranus XXVI (Mab),"The fairies' midwife in ""Romeo and Juliet."""
Uranus XXVII (Cupid),"A character in ""Timon of Athens."""
Neptune,
Neptune I (Triton),Triton is named for the sea-god son of Poseidon (Neptune) and Amphitrite. The first suggestion of the name Triton has been attributed to the French astronomer Camille Flammarion.
Neptune II (Nereid),The Nereids were the fifty daughters of the sea god Nereus and Doris and were attendants of Poseidon (Neptune).
Neptune III (Naiad),"The name of a group of Greek water nymphs who were guardians of lakes, fountains, springs, and rivers."
Neptune IV (Thalassa),Greek sea goddess. Mother of Aphrodite in some legends; others say she bore the Telchines.
Neptune V (Despina),Daughter of Poseidon (Neptune) and Demeter.
Neptune VI (Galatea),"One of the Nereids, attendants of Poseidon."
Neptune VII (Larissa),"A lover of Poseidon. After the discovery by Voyager, it was established that an occultation of a star by this satellite had been fortuitously observed in 1981 by H. Reitsema, W. Hubbard, L. Lebofsky, and D. J. Tholen."
Neptune VIII (Proteus),"Greek sea god, son of Oceanus and Tethys."
Neptune IX (Halimede),"One of the Nereids, the fifty daughters of Nereus and Doris."
Neptune X (Psamathe),"One of the Nereids, lover of Aeacus and mother of Phocus."
Neptune XI (Sao),"One of the Nereids, the fifty daughters of Nereus and Doris."
Neptune XII (Laomedeia),"One of the Nereids, the fifty daughters of Nereus and Doris."
Neptune XIII (Neso),"One of the Nereids, the fifty daughters of Nereus and Doris."
Neptune XIV (Hippocamp),"Mythical seahorse in Greek mythology, a symbol of Poseidon."
(1) Ceres,Roman goddess of corn and harvests.
(134340) Pluto,"Pluto was discovered at Lowell Observatory in Flagstaff, AZ during a systematic search for a trans-Neptune planet predicted by Percival Lowell and William H. Pickering. Named after the Roman god of the underworld who was able to render himself invisible."
(134340) Pluto I (Charon),Named after the Greek mythological boatman who ferried souls across the river Styx to Pluto for judgement.
(134340) Pluto II (Nix),"Goddess of darkness and night, mother of Charon. (Nix is the Egyptian spelling of the Greek name Nyx.)"
(134340) Pluto III (Hydra),"In Greek mythology, terrifying monster with the body of a serpent and nine heads that guarded the underworld."
(134340) Pluto IV (Kerberos),"In Greek mythology, the many-headed dog that guarded the
entrance to the underworld."
(134340) Pluto V (Styx),Greek goddess who ruled over the underworld river also named Styx.
(136108) Haumea,Hawaiian goddess of childbirth and fertility.
(136108) Haumea I (Hi'iaka),"Daughter of Haumea, patron goddess of the island of Hawaii and of hula dancers."
(136108) Haumea II (Namaka),"Daughter of Haumea, water spirit in Hawaiian mythology."
(136199) Eris,Greek goddess of discord and strife.
(136199) Eris I (Dysnomia),"Eris' daughter, spirit of lawlessness."
(136472) Makemake,Polynesian (Rapa Nui/Easter Island) creator god.
