Term
'A'a:
Accretion:
Achondrite:
AGB stars:
Agglutinates:
Albedo:
Amazonian Epoch:
Amino acids:
Ammonia:
Amorphous:
Andesite:
Angrite:
Angstrom:
Anomaly:
Anorthosite:
ANSMET:
Antenna:
Antipode:
Aphanitic:
Aphelion:
Apollo:
Apparition:
Argument of perihelion:
Ascending node:
Asteroid:
Asteroid belt:
Asteroid family:
Astrobiology:
Astronaut:
Astronomical twilight:
Atmophile:
Atmosphere:
AU (Astronomical Unit):
Bacteria:
Basalt:
Basin:
Biosphere:
Breccia:
CAI:
Caldera:
Canonical:
Carbon:
Carbon star:
Carbonaceous chondrite:
Carbonate:
Carbon dioxide:
Celestial body:
Celestial equator:
Celestial sphere:
Celsius:
Ceres:
Chalcophile:
Chassignites:
Chirality:
l
d
l-
Chondrite:
Chondrule:
Clementine:
Clinopyroxene:
Closure temperature:
Coma:
Comet:
Condensation:
Convection:
Copernican:
Core:
Cosmic rays:
Cosmic ray exposure age:
Cosmochemistry:
Crater
Crater chain
Crust:
Cryptomaria (singular: cryptomare)
Dark mantle deposits:
Declination:
Density:
Density current:
Descartes:
Deuterium:
Differentiation:
Diffusion:
Dissociation:
Diurnal:
Earthquake:
Eccentricity:
Ecliptic:
Ejecta:
Electromagnetic spectrum:
Electron microprobe:
Electron Volt:
Emission angle:
Emissivity:
Energy Dispersive Analysis:
Enstatite:
Ephemeris:
Eratosthenian:
Erosion:
Eruption:
Eucrite:
Exoplanet:
Exosphere:
Exsolution:
Extrusive:
Fall:
Fahrenheit:
Farside:
Fault:
Feldspar:
Felsic:
Farside:
Find:
Fireball:
Fischer-Tropsch reaction:
Fissure:
Fra Mauro:
Fractional crystallization:
FUN CAI:
Fusion crust:
Gabbro:
Galilean Moons:
Galileo Mission:
Gamma ray:
Genesis Mission:
Geocentric distance:
Geologist:
Giant impact theory:
Geomorphology:
Gigapascal (GPa):
Globular clusters:
GRAIL Mission:
Grand Tack model:
Gravity anomaly:
Great Oxygenation Event:
Hadley-Appenine:
Half-life:
HED:
Heliocentric distance:
Helium:
Hematite:
Hesperian Epoch:
"Highland ""soil"":"
Highlands:
Hubble constant:
Hydrogen:
Hydrosphere:
IDP:
Igneous:
Ilmenite:
Imbrian:
Impact:
Incidence angle:
Inclination:
Inclusions:
Incompatible elements:
Interplanetary dust particles (IDPs):
Interstellar medium:
Intrusive:
Ion Microprobe:
Ionosphere:
Iron:
Iron Meteorite:
Iron-Wustite Buffer:
IS/FeO:
Isochron:
Isotopes:
Isotopic Dating:
Isotopic Fractionation:
Kaguya Mission:
Kelvin:
keV:
KREEP:
Kuiper Belt:
Labile:
Landslide:
Laser:
Late Heavy Bombardment:
Latitude:
Lava:
Leaching:
Levee:
Light year:
Liquidus:
Lithification:
Lithology:
Lithophile:
Lithosphere:
Longitude:
Long-period:
Luna:
Lunar:
Lunar basin:
Lunar Cataclysm:
Lunar meteorites:
Lunar Prospector:
Lunar Reconnaissance Orbiter:
Lunar Swirl:
Mafic:
Magma:
Magma Ocean:
Magnesium:
Magnesium number:
Magnetic field:
Magnetite:
Magnetofossils:
Magnetometer:
Magnetosphere:
Magnitude:
Mantle:
Mare basalt:
"Mare ""soil"":"
Maria (singular: mare)
Mariner 9:
Mars Exploration Rovers:
Mars Express:
Mars Global Surveyor:
"Mars Mission, Phoenix:"
Mars Odyssey:
Mars Orbiter Camera (MOC):
Mars Orbiter Laser Altimeter (MOLA):
Mars Pathfinder:
Mars Reconnaissance Orbiter (MRO):
Mars Science Laboratory (MSL):
Martian meteorites:
